"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C5","1","100µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","1µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C12,C28","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8","1","10 µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","220 µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C29,C30,C31,C32","5","100 nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13","1","C","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C17,C25,C26","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C33,C34","2","100uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C35,C36","2","1nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D9","2","D_TVS","","","","Diode_SMD:D_SMA","~"
"D2,D7,D10","3","D_Schottky","","","","Diode_SMD:D_SMA","~"
"D8","1","D_Zener","","","","Diode_SMD:D_SOD-123","~"
"D11,D12","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"F1","1","Fuse","","","","Fuse:Fuse_1812_4532Metric","~"
"FB1","1","FerriteBead","","","","Inductor_SMD:L_0805_2012Metric","~"
"J1,J3,J5","3","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J4","1","DE9_Pins","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","~"
"J6","1","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"L1","1","L","","","","Inductor_SMD:L_Bourns_SRN6045TA","~"
"Q3","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R8","1","3,65 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","1,20 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","100kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","33kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14,R26","2","100 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R27,R28","2","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R29,R30","2","330Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_TL3342","~"
"TP1,TP2,TP3,TP4,TP5","5","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"U5","1","LM2596S-ADJ","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U6","1","MAX3232","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf"
"U7","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U8","1","ESP32-WROOM-32","","","","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
